stage,view,screen_w,screen_h,render_w,render_h,view_w,view_h,span,target_x,target_z,visible_forest,visible_steel,visible_water,enemies,pixel_style
1,German-Tiger,1280,720,2560,1440,1280,720,18.500000,13.000000,13.000000,0,8,0,4,0
1,USA-T95,1280,720,2560,1440,1280,720,18.500000,13.000000,13.000000,0,8,0,4,0
1,USSR-KV5,1280,720,2560,1440,1280,720,18.500000,13.000000,13.000000,0,8,0,4,0
26,German-Tiger,1280,720,2560,1440,1280,720,18.500000,13.000000,13.000000,88,64,48,4,0
26,USA-T95,1280,720,2560,1440,1280,720,18.500000,13.000000,13.000000,88,64,48,4,0
26,USSR-KV5,1280,720,2560,1440,1280,720,18.500000,13.000000,13.000000,88,64,48,4,0
